Feature_Names,Importance_RF,Importance_XGB
S_seir,0.00236789502329119,0.00318580436083526
E_seir,0.142453825986958,0.00827698501214004
beta,0.000341073089022751,0.000186809984613724
u,0.000623468917061743,0.000156353601404724
R0,0.000290503950206038,0
I_lag_1,0.0670871285589214,0.0144276478582644
I_lag_3,0.0146794254606161,0.000943628516117016
I_lag_7,0.0123862717496932,0.000176325947718326
I_lag_14,0.00286649343619229,0.000329367794219431
MA_3,0.239356811474758,0.540325784435101
MA_7,0.183874136810796,0.000388509056591026
MA_14,0.0376865224100797,0.000478171131076336
dI_abs,0.0184729376154489,0.023329177904168
dI_rel,0.0132066403432113,0.0267302868779788
I_exp_smooth,0.253830422885975,0.376629866009125
t,0.00185678811017424,0.002692991590388
day_of_week,0.000399354660028081,4.46591943354097e-05
sin_weekly,0.00169661926516335,0.000375613043589118
cos_weekly,0.00109041967189506,0.000921190831290816
S_times_beta,0.00199730491838368,0.000347273320206007
u_times_R0,0.00203395352154596,5.14574344863622e-05
beta_div_u,0.000206216796562896,0
epidemic_indicator,1.27564787374405e-05,2.09609635050103e-06
cumulative_ratio,0.00118302886527736,0
